year,sector_id_six,home_based_status,county_id,total_number_of_jobs
2019,6,1,8031,5644
2019,1,1,8035,80
2019,2,1,8035,121
2019,3,1,8035,1935
2019,4,1,8035,4
2019,5,1,8035,370
2019,6,1,8035,3474
2019,1,1,8039,3
2019,2,1,8039,9
2019,3,1,8039,185
2019,4,1,8039,0
2019,5,1,8039,17
2019,6,1,8039,178
2019,1,1,8047,0
2019,2,1,8047,0
2019,3,1,8047,17
2019,4,1,8047,0
2019,5,1,8047,4
2019,6,1,8047,12
2019,1,1,8059,114
2019,2,1,8059,147
2019,3,1,8059,3230
2019,4,1,8059,11
2019,5,1,8059,621
2019,6,1,8059,5337
2019,1,1,8123,3
2019,2,1,8123,9
2019,3,1,8123,329
2019,4,1,8123,0
2019,5,1,8123,34
2019,6,1,8123,308
2020,1,1,8001,186
2020,2,1,8001,278
2020,3,1,8001,5907
2020,4,1,8001,29
2020,5,1,8001,872
2020,6,1,8001,4850
2020,1,1,8005,96
2020,2,1,8005,156
2020,3,1,8005,2933
2020,4,1,8005,20
2020,5,1,8005,531
2020,6,1,8005,9141
2020,1,1,8013,95
2020,2,1,8013,106
2020,3,1,8013,1410
2020,4,1,8013,10
2020,5,1,8013,388
2020,6,1,8013,3437
2020,1,1,8014,10
2020,2,1,8014,10
2020,3,1,8014,232
2020,4,1,8014,0
2020,5,1,8014,48
2020,6,1,8014,395
2020,1,1,8019,1
2020,2,1,8019,1
2020,3,1,8019,48
2020,4,1,8019,1
2020,5,1,8019,9
2020,6,1,8019,69
2020,1,1,8031,121
2020,2,1,8031,207
2020,3,1,8031,2461
2020,4,1,8031,30
2020,5,1,8031,472
2020,6,1,8031,5686
2020,1,1,8035,80
2020,2,1,8035,121
2020,3,1,8035,1958
2020,4,1,8035,4
2020,5,1,8035,370
2020,6,1,8035,3483
2020,1,1,8039,3
2020,2,1,8039,9
2020,3,1,8039,187
2020,4,1,8039,0
2020,5,1,8039,17
2020,6,1,8039,177
2020,1,1,8047,0
2020,2,1,8047,0
2020,3,1,8047,16
2020,4,1,8047,0
2020,5,1,8047,4
2020,6,1,8047,12
2020,1,1,8059,114
2020,2,1,8059,147
2020,3,1,8059,3200
2020,4,1,8059,11
2020,5,1,8059,620
2020,6,1,8059,5309
2020,1,1,8123,3
2020,2,1,8123,9
2020,3,1,8123,327
2020,4,1,8123,0
2020,5,1,8123,34
2020,6,1,8123,311
2021,1,1,8001,193
2021,2,1,8001,290
2021,3,1,8001,6094
2021,4,1,8001,30
2021,5,1,8001,878
2021,6,1,8001,4921
2021,1,1,8005,96
2021,2,1,8005,157
2021,3,1,8005,2927
2021,4,1,8005,20
2021,5,1,8005,568
2021,6,1,8005,9421
2021,1,1,8013,94
2021,2,1,8013,105
2021,3,1,8013,1403
2021,4,1,8013,10
2021,5,1,8013,386
2021,6,1,8013,3415
2021,1,1,8014,10
2021,2,1,8014,10
2021,3,1,8014,230
2021,4,1,8014,0
2021,5,1,8014,47
2021,6,1,8014,392
2021,1,1,8019,1
2021,2,1,8019,1
2021,3,1,8019,48
2021,4,1,8019,1
2021,5,1,8019,9
2021,6,1,8019,69
2021,1,1,8031,121
2021,2,1,8031,206
2021,3,1,8031,2479
2021,4,1,8031,30
2021,5,1,8031,469
2021,6,1,8031,5709
2021,1,1,8035,82
2021,2,1,8035,123
2021,3,1,8035,1988
2021,4,1,8035,4
2021,5,1,8035,372
2021,6,1,8035,3515
2021,1,1,8039,3
2021,2,1,8039,9
2021,3,1,8039,191
2021,4,1,8039,0
2021,5,1,8039,17
2021,6,1,8039,183
2021,1,1,8047,0
2021,2,1,8047,0
2021,3,1,8047,16
2021,4,1,8047,0
2021,5,1,8047,4
2021,6,1,8047,12
2021,1,1,8059,114
2021,2,1,8059,146
2021,3,1,8059,3180
2021,4,1,8059,11
2021,5,1,8059,616
2021,6,1,8059,5280
2021,1,1,8123,3
2021,2,1,8123,9
2021,3,1,8123,328
2021,4,1,8123,0
2021,5,1,8123,36
2021,6,1,8123,313
2022,1,1,8001,200
2022,2,1,8001,299
2022,3,1,8001,6283
2022,4,1,8001,31
2022,5,1,8001,912
2022,6,1,8001,5003
2022,1,1,8005,98
2022,2,1,8005,159
2022,3,1,8005,2933
2022,4,1,8005,20
2022,5,1,8005,573
2022,6,1,8005,9682
2022,1,1,8013,93
2022,2,1,8013,105
2022,3,1,8013,1403
2022,4,1,8013,10
2022,5,1,8013,384
2022,6,1,8013,3411
2022,1,1,8014,10
2022,2,1,8014,11
2022,3,1,8014,229
2022,4,1,8014,0
2022,5,1,8014,47
2022,6,1,8014,392
2022,1,1,8019,1
2022,2,1,8019,1
2022,3,1,8019,48
2022,4,1,8019,1
2022,5,1,8019,9
2022,6,1,8019,69
2022,1,1,8031,120
2022,2,1,8031,209
2022,3,1,8031,2503
2022,4,1,8031,30
2022,5,1,8031,473
2022,6,1,8031,5722
2022,1,1,8035,83
2022,2,1,8035,121
2022,3,1,8035,2001
2022,4,1,8035,4
2022,5,1,8035,374
2022,6,1,8035,3544
2022,1,1,8039,3
2022,2,1,8039,9
2022,3,1,8039,191
2022,4,1,8039,0
2022,5,1,8039,17
2022,6,1,8039,187
2022,1,1,8047,0
2022,2,1,8047,0
2022,3,1,8047,16
2022,4,1,8047,0
2022,5,1,8047,4
2022,6,1,8047,12
2022,1,1,8059,114
2022,2,1,8059,145
2022,3,1,8059,3155
2022,4,1,8059,11
2022,5,1,8059,610
2022,6,1,8059,5255
2022,1,1,8123,3
2022,2,1,8123,8
2022,3,1,8123,327
2022,4,1,8123,0
2022,5,1,8123,36
2022,6,1,8123,313
2023,1,1,8001,209
2023,2,1,8001,311
2023,3,1,8001,6482
2023,4,1,8001,34
2023,5,1,8001,955
2023,6,1,8001,5087
2023,1,1,8005,98
2023,2,1,8005,159
2023,3,1,8005,2929
2023,4,1,8005,19
2023,5,1,8005,575
2023,6,1,8005,9946
2023,1,1,8013,91
2023,2,1,8013,105
2023,3,1,8013,1398
2023,4,1,8013,10
2023,5,1,8013,380
2023,6,1,8013,3394
2023,1,1,8014,10
2023,2,1,8014,10
2023,3,1,8014,228
2023,4,1,8014,0
2023,5,1,8014,47
2023,6,1,8014,389
2023,1,1,8019,1
2023,2,1,8019,1
2023,3,1,8019,48
2023,4,1,8019,1
2023,5,1,8019,9
2023,6,1,8019,69
2023,1,1,8031,121
2023,2,1,8031,209
2023,3,1,8031,2542
2023,4,1,8031,29
2023,5,1,8031,473
2023,6,1,8031,5749
2023,1,1,8035,83
2023,2,1,8035,121
2023,3,1,8035,2000
2023,4,1,8035,4
2023,5,1,8035,372
2023,6,1,8035,3573
2023,1,1,8039,4
2023,2,1,8039,10
2023,3,1,8039,190
2023,4,1,8039,0
2023,5,1,8039,17
2023,6,1,8039,189
2023,1,1,8047,0
2023,2,1,8047,0
2023,3,1,8047,16
2023,4,1,8047,0
2023,5,1,8047,4
2023,6,1,8047,12
2023,1,1,8059,113
2023,2,1,8059,145
2023,3,1,8059,3133
2023,4,1,8059,11
2023,5,1,8059,606
2023,6,1,8059,5224
2023,1,1,8123,3
2023,2,1,8123,8
2023,3,1,8123,327
2023,4,1,8123,0
2023,5,1,8123,38
2023,6,1,8123,319
2024,1,1,8001,215
2024,2,1,8001,323
2024,3,1,8001,6686
2024,4,1,8001,34
2024,5,1,8001,992
2024,6,1,8001,5173
2024,1,1,8005,98
2024,2,1,8005,160
2024,3,1,8005,2931
2024,4,1,8005,20
2024,5,1,8005,573
2024,6,1,8005,10225
2024,1,1,8013,91
2024,2,1,8013,104
2024,3,1,8013,1392
2024,4,1,8013,10
2024,5,1,8013,378
2024,6,1,8013,3371
2024,1,1,8014,10
2024,2,1,8014,10
2024,3,1,8014,224
2024,4,1,8014,0
2024,5,1,8014,46
2024,6,1,8014,387
2024,1,1,8019,1
2024,2,1,8019,1
2024,3,1,8019,48
2024,4,1,8019,1
2024,5,1,8019,9
2024,6,1,8019,68
2024,1,1,8031,122
2024,2,1,8031,209
2024,3,1,8031,2568
2024,4,1,8031,28
2024,5,1,8031,476
2024,6,1,8031,5779
2024,1,1,8035,83
2024,2,1,8035,122
2024,3,1,8035,2003
2024,4,1,8035,5
2024,5,1,8035,378
2024,6,1,8035,3590
2024,1,1,8039,4
2024,2,1,8039,10
2024,3,1,8039,191
2024,4,1,8039,0
2024,5,1,8039,17
2024,6,1,8039,191
2024,1,1,8047,0
2024,2,1,8047,0
2024,3,1,8047,15
2024,4,1,8047,0
2024,5,1,8047,4
2024,6,1,8047,12
2024,1,1,8059,113
2024,2,1,8059,142
2024,3,1,8059,3113
2024,4,1,8059,11
2024,5,1,8059,603
2024,6,1,8059,5196
2024,1,1,8123,3
2024,2,1,8123,9
2024,3,1,8123,327
2024,4,1,8123,0
2024,5,1,8123,37
2024,6,1,8123,319
2025,1,1,8001,226
2025,2,1,8001,336
2025,3,1,8001,6866
2025,4,1,8001,35
2025,5,1,8001,991
2025,6,1,8001,5262
2025,1,1,8005,96
2025,2,1,8005,160
2025,3,1,8005,2938
2025,4,1,8005,19
2025,5,1,8005,612
2025,6,1,8005,10489
2025,1,1,8013,91
2025,2,1,8013,104
2025,3,1,8013,1389
2025,4,1,8013,10
2025,5,1,8013,377
2025,6,1,8013,3358
2025,1,1,8014,10
2025,2,1,8014,10
2025,3,1,8014,222
2025,4,1,8014,0
2025,5,1,8014,45
2025,6,1,8014,387
2025,1,1,8019,1
2025,2,1,8019,1
2025,3,1,8019,47
2025,4,1,8019,1
2025,5,1,8019,9
2025,6,1,8019,67
2025,1,1,8031,122
2025,2,1,8031,208
2025,3,1,8031,2593
2025,4,1,8031,29
2025,5,1,8031,482
2025,6,1,8031,5794
2025,1,1,8035,82
2025,2,1,8035,122
2025,3,1,8035,2021
2025,4,1,8035,5
2025,5,1,8035,376
2025,6,1,8035,3612
2025,1,1,8039,4
2025,2,1,8039,10
2025,3,1,8039,191
2025,4,1,8039,0
2025,5,1,8039,17
2025,6,1,8039,193
2025,1,1,8047,0
2025,2,1,8047,0
2025,3,1,8047,15
2025,4,1,8047,0
2025,5,1,8047,3
2025,6,1,8047,12
2025,1,1,8059,113
2025,2,1,8059,142
2025,3,1,8059,3093
2025,4,1,8059,11
2025,5,1,8059,601
2025,6,1,8059,5174
2025,1,1,8123,3
2025,2,1,8123,9
2025,3,1,8123,328
2025,4,1,8123,0
2025,5,1,8123,37
2025,6,1,8123,323
2026,1,1,8001,234
2026,2,1,8001,349
2026,3,1,8001,7049
2026,4,1,8001,36
2026,5,1,8001,993
2026,6,1,8001,5350
2026,1,1,8005,96
2026,2,1,8005,160
2026,3,1,8005,2945
2026,4,1,8005,19
2026,5,1,8005,640
2026,6,1,8005,10741
2026,1,1,8013,91
