zone_id,hh_sim,emp_sim
713,518,47
714,1252,802
715,531,733
716,908,360
717,700,247
718,1317,308
719,194,2
720,20,157
721,6,2
722,105,18
723,451,239
724,354,204
725,390,271
726,1649,249
727,4,52
728,2,
729,159,63
730,339,303
731,580,412
732,532,106
733,714,353
734,1165,1599
735,18,2320
736,2,92
737,4,101
738,50,354
739,1186,400
740,519,959
741,259,140
742,268,166
743,224,427
744,643,687
745,730,624
746,927,1410
747,159,717
748,604,196
749,47,11
750,298,387
751,424,100
752,736,344
753,680,918
754,525,1229
755,531,183
756,1051,950
757,790,493
758,847,423
759,733,235
760,99,93
761,1446,508
762,266,103
763,485,540
764,349,282
765,170,60
766,921,366
767,1154,348
768,2,1200
769,692,161
770,316,835
771,199,594
772,1163,620
773,635,247
774,1614,518
775,307,97
776,108,4424
777,530,319
778,740,152
779,,
780,57,0
781,85,12
782,535,259
783,6,1
784,61,97
785,820,365
786,321,238
787,478,127
788,959,622
789,507,115
790,1217,282
791,1155,377
792,2,
793,25,131
794,,65
795,1193,484
